FECHA;DEPARTAMENTO;MUNICIPIO;TIPO_DE_EVENTO;DIVIPOLA;FALLECIDOS;HERIDOS;DESAPARECIDOS;AFECTADOS;FAMILIAS;VIVIENDAS_DESTRUIDAS;VIVIENDAS_AVERIADAS
1/01/2020;RISARALDA;SANTA ROSA DE CABAL;MOVIMIENTO EN MASA;66682;0;0;0;12;3;2;1
1/01/2020;QUINDIO;MONTENEGRO;MOVIMIENTO EN MASA;63470;0;0;0;0;0;0;0
1/01/2020;CAUCA;SUCRE;MOVIMIENTO EN MASA;19785;0;0;0;15;3;0;3
1/01/2020;BOYACA;MOTAVITA;SEQUIA;15476;0;0;0;0;0;0;0
1/01/2020;BOYACA;PAIPA;SEQUIA;15516;0;0;0;0;0;0;0
1/02/2020;LA GUAJIRA;SAN JUAN DEL CESAR;SEQUIA;44650;0;0;0;0;0;0;0
1/02/2020;CUNDINAMARCA;SOACHA;INCENDIO ESTRUCTURAL;25754;0;0;0;0;0;0;0
1/02/2020;CESAR;EL PASO;INCENDIO DE COBERTURA VEGETAL;20250;0;0;0;0;0;0;0
1/02/2020;SANTANDER;RIONEGRO;INCENDIO DE COBERTURA VEGETAL;68615;0;0;0;0;0;0;0
1/02/2020;HUILA;TESALIA;INCENDIO DE COBERTURA VEGETAL;41797;0;0;0;0;0;0;0
1/02/2020;TOLIMA;HONDA;VENDAVAL;73349;0;0;0;80;16;0;16
1/02/2020;CUNDINAMARCA;LA PALMA;VENDAVAL;25394;0;0;0;135;54;0;54
1/02/2020;RISARALDA;LA CELIA;VENDAVAL;66383;0;0;0;4;1;0;1
1/02/2020;BOYACA;FIRAVITOBA;INCENDIO DE COBERTURA VEGETAL;15272;0;0;0;0;0;0;0
1/02/2020;CASANARE;OROCUE;INCENDIO DE COBERTURA VEGETAL;85230;0;0;0;0;0;0;0
1/03/2020;RISARALDA;PEREIRA;TEMPORAL;66001;0;0;0;248;95;0;95
1/03/2020;CUNDINAMARCA;QUETAME;INCENDIO DE COBERTURA VEGETAL;25594;1;5;0;13;1;0;1
1/03/2020;VICHADA;LA PRIMAVERA;INCENDIO DE COBERTURA VEGETAL;99524;0;0;0;0;0;0;0
1/03/2020;MAGDALENA;PEDRAZA;INCENDIO DE COBERTURA VEGETAL;47541;0;0;0;0;0;0;0
1/03/2020;VALLE DEL CAUCA;LA CUMBRE;INCENDIO DE COBERTURA VEGETAL;76377;0;0;0;0;0;0;0
1/04/2020;CHOCO;BOJAYA;INUNDACION;27099;0;0;0;1390;278;0;61
1/04/2020;CASANARE;AGUAZUL;INCENDIO DE COBERTURA VEGETAL;85010;0;0;0;0;0;0;0
1/04/2020;LA GUAJIRA;DIBULLA;INCENDIO DE COBERTURA VEGETAL;44090;0;0;0;0;0;0;0
1/04/2020;CORDOBA;TIERRALTA;INCENDIO DE COBERTURA VEGETAL;23807;0;0;0;0;0;0;0
1/04/2020;CUNDINAMARCA;YACOPI;VENDAVAL;25885;0;0;0;35;9;0;9
1/04/2020;BOYACA;OICATA;INCENDIO DE COBERTURA VEGETAL;15500;0;0;0;0;0;0;0
1/04/2020;ANTIOQUIA;COCORNA;MOVIMIENTO EN MASA;5197;0;0;0;0;0;0;0
1/05/2020;CASANARE;RECETOR;TEMPORAL;85279;0;0;0;0;0;0;0
1/05/2020;TOLIMA;FRESNO;TEMPORAL;73283;0;0;0;5;1;0;1
1/06/2020;HUILA;NEIVA;MOVIMIENTO EN MASA;41001;0;0;0;0;0;0;0
1/06/2020;HUILA;TERUEL;CRECIENTE SUBITA;41801;0;0;0;5;1;0;1
1/06/2020;HUILA;YAGUARA;CRECIENTE SUBITA;41885;0;0;0;0;0;0;0
1/06/2020;RISARALDA;DOSQUEBRADAS;MOVIMIENTO EN MASA;66170;0;0;0;4;1;1;0
1/06/2020;QUINDIO;CALARCA;ACCIDENTE TRANSPORTE TERRESTRE;63130;0;1;0;0;0;0;0
1/06/2020;RISARALDA;QUINCHIA;ACCIDENTE MINERO;66594;0;0;0;0;0;0;0
1/07/2020;SUCRE;OVEJAS;INUNDACION;70508;0;0;0;5;1;0;1
1/07/2020;ANTIOQUIA;HELICONIA;VENDAVAL;5347;0;0;0;8;2;0;2
1/07/2020;META;GUAMAL;CRECIENTE SUBITA;50318;0;0;0;4;1;0;1
1/07/2020;CHOCO;NOVITA;INCENDIO ESTRUCTURAL;27491;0;0;0;6;1;1;0
1/07/2020;HUILA;NATAGA;TEMPORAL;41483;0;0;0;0;0;0;0
1/08/2020;CHOCO;QUIBDO;TEMPORAL;27001;0;0;0;0;0;0;0
1/08/2020;TOLIMA;LIBANO;INCENDIO DE COBERTURA VEGETAL;73411;0;0;0;0;0;1;0
1/08/2020;CESAR;VALLEDUPAR;INCENDIO ESTRUCTURAL;20001;0;1;0;21;3;3;0
1/08/2020;CHOCO;LLORO;TEMPORAL;27413;0;0;0;243;71;0;70
1/08/2020;CUNDINAMARCA;PACHO;INCENDIO DE COBERTURA VEGETAL;25513;0;0;0;0;0;0;0
1/08/2020;CUNDINAMARCA;VERGARA;INCENDIO DE COBERTURA VEGETAL;25862;0;0;0;0;0;0;0
1/08/2020;CUNDINAMARCA;PACHO;INCENDIO DE COBERTURA VEGETAL;25513;0;0;0;0;0;0;0
1/08/2020;CHOCO;LLORO;INCENDIO ESTRUCTURAL;27413;0;0;0;15;3;1;2
1/08/2020;ANTIOQUIA;BETANIA;VENDAVAL;5091;0;0;0;45;9;0;9
1/08/2020;HUILA;TESALIA;INCENDIO DE COBERTURA VEGETAL;41797;0;0;0;0;0;0;0
1/09/2020;META;PUERTO LOPEZ;ACCIDENTE TRANSPORTE AEREO;50573;1;0;0;1;0;0;0
1/09/2020;BOYACA;GUACAMAYAS;INCENDIO DE COBERTURA VEGETAL;15317;0;0;0;0;0;0;0
1/09/2020;NORTE DE SANTANDER;BOCHALEMA;INCENDIO DE COBERTURA VEGETAL;54099;0;0;0;0;0;0;0
1/09/2020;BOYACA;TINJACA;INCENDIO DE COBERTURA VEGETAL;15808;0;0;0;0;0;0;0
1/09/2020;ATLANTICO;MALAMBO;INCENDIO VEHICULAR;8433;0;0;0;0;0;0;0
1/09/2020;ANTIOQUIA;MEDELLIN;INUNDACION;5001;0;2;0;24;6;0;6
1/09/2020;TOLIMA;GUAMO;INCENDIO DE COBERTURA VEGETAL;73319;0;0;0;0;0;0;0
1/09/2020;SANTANDER;LANDAZURI;CRECIENTE SUBITA;68385;0;0;0;240;60;0;60
1/09/2020;SANTANDER;CIMITARRA;CRECIENTE SUBITA;68190;0;0;0;1000;350;0;350
1/10/2020;TOLIMA;COYAIMA;INCENDIO DE COBERTURA VEGETAL;73217;0;0;0;0;0;0;0
1/10/2020;CAUCA;JAMBALO;INCENDIO DE COBERTURA VEGETAL;19364;0;0;0;0;0;0;0
1/10/2020;META;PUERTO RICO;INCENDIO DE COBERTURA VEGETAL;50590;0;0;0;0;0;0;0
1/10/2020;CAUCA;EL TAMBO;TEMPORAL;19256;0;0;0;288;72;0;72
1/10/2020;CUNDINAMARCA;LA VEGA;INCENDIO DE COBERTURA VEGETAL;25402;0;0;0;0;0;0;0
1/10/2020;CALDAS;ANSERMA;INCENDIO ESTRUCTURAL;17042;0;0;0;5;1;0;1
1/10/2020;NARIÑO;CHACHAGUI;INCENDIO DE COBERTURA VEGETAL;52240;0;0;0;0;0;0;0
1/10/2020;ANTIOQUIA;EL BAGRE;INUNDACION;5250;0;0;0;100;22;0;22
1/10/2020;ANTIOQUIA;TURBO;TEMPORAL;5837;0;0;0;320;80;0;80
1/11/2020;SAN ANDRES;SAN ANDRES;CICLON TROPICAL: DEPRESION/TORMENTA/HURACAN;88001;0;0;0;617;141;0;141
1/11/2020;ATLANTICO;MALAMBO;INUNDACION;8433;0;0;0;175;35;0;35
1/11/2020;NORTE DE SANTANDER;CACHIRA;MOVIMIENTO EN MASA;54128;0;0;0;0;0;0;0
1/11/2020;BOLIVAR;ARENAL;INUNDACION;13042;0;0;0;0;0;0;0
1/11/2020;BOLIVAR;CARTAGENA;INUNDACION;13001;0;3;0;699;191;2;179
1/11/2020;CAUCA;ARGELIA;INUNDACION;19050;0;0;0;59;17;0;17
1/11/2020;BOLIVAR;SAN JACINTO DEL CAUCA;INUNDACION;13655;0;0;0;1680;282;2;280
1/11/2020;ATLANTICO;GALAPA;INUNDACION;8296;0;0;0;244;61;0;61
1/11/2020;CHOCO;SAN JOSE DEL PALMAR;MOVIMIENTO EN MASA;27660;0;0;0;0;0;0;0
1/11/2020;LA GUAJIRA;DISTRACCION;INUNDACION;44098;0;0;0;150;35;0;35
1/11/2020;ARAUCA;TAME;INUNDACION;81794;0;0;0;0;0;0;0
1/11/2020;ANTIOQUIA;EL BAGRE;INUNDACION;5250;0;0;0;115;23;0;23
1/11/2020;ANTIOQUIA;AMALFI;MOVIMIENTO EN MASA;5031;0;0;0;0;0;0;0
1/11/2020;ANTIOQUIA;VEGACHI;AVENIDA TORRENCIAL;5858;0;0;0;0;0;0;0
1/11/2020;BOLIVAR;TALAIGUA NUEVO;INUNDACION;13780;0;0;0;280;56;0;56
1/12/2020;ANTIOQUIA;DABEIBA;MOVIMIENTO EN MASA;5234;0;0;0;7;2;2;0
1/12/2020;TOLIMA;COELLO;MOVIMIENTO EN MASA;73200;0;0;0;6;1;0;1
1/12/2020;TOLIMA;RIOBLANCO;MOVIMIENTO EN MASA;73616;0;0;0;0;0;0;0
1/12/2020;BOLIVAR;BARRANCO DE LOBA;ACCIDENTE MINERO;13074;3;0;0;3;0;0;0
1/12/2020;SANTANDER;AGUADA;CRECIENTE SUBITA;68013;0;0;0;0;0;0;0
1/12/2020;SANTANDER;CIMITARRA;CRECIENTE SUBITA;68190;0;0;0;0;0;0;0
1/12/2020;SANTANDER;SAN BENITO;MOVIMIENTO EN MASA;68673;0;0;0;12;3;0;3
1/12/2020;CUNDINAMARCA;SASAIMA;MOVIMIENTO EN MASA;25718;0;0;0;0;0;0;0
1/12/2020;CUNDINAMARCA;MOSQUERA;INUNDACION;25473;0;0;0;13;3;0;3
1/12/2020;BOLIVAR;BARRANCO DE LOBA;INUNDACION;13074;0;0;0;15;3;0;3
1/12/2020;LA GUAJIRA;DIBULLA;INUNDACION;44090;0;0;0;8;2;0;2
1/12/2020;CUNDINAMARCA;EL ROSAL;INCENDIO DE COBERTURA VEGETAL;25260;0;0;0;0;0;0;0
2/01/2020;BOYACA;AQUITANIA;INCENDIO DE COBERTURA VEGETAL;15047;0;0;0;0;0;0;0
2/01/2020;TOLIMA;CHAPARRAL;INMERSION;73168;0;0;1;1;0;0;0
2/01/2020;BOGOTA, D.C.;BOGOTA, D.C.;ACCIDENTE TRANSPORTE TERRESTRE;11001;0;3;0;23;0;0;0
2/01/2020;CUNDINAMARCA;GACHETA;INCENDIO DE COBERTURA VEGETAL;25297;0;0;0;0;0;0;0
