index,FECHA,DEPARTAMENTO,MUNICIPIO,TIPO_DE_EVENTO,DIVIPOLA,FALLECIDOS,HERIDOS,DESAPARECIDOS,AFECTADOS,FAMILIAS,VIVIENDAS_DESTRUIDAS,VIVIENDAS_AVERIADAS,LATITUD,LONGITUD,TOTAL_PERSONAS_INVOLUCRADAS,NIVEL_DEL_INCIDENTE_NATURAL,PERSONAS_INVOLUCRADAS
0,2018-01-01,BOYACA,GUATEQUE,INCENDIO FORESTAL,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
1,2018-01-28,BOYACA,GUATEQUE,INCENDIO FORESTAL,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
2,2018-02-09,BOYACA,GUATEQUE,INCENDIO FORESTAL,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
3,2018-02-09,BOYACA,GUATEQUE,INCENDIO FORESTAL,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
4,2018-02-26,BOYACA,GUATEQUE,INCENDIO FORESTAL,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
5,2018-03-11,BOYACA,GUATEQUE,INCENDIO FORESTAL,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
6,2018-03-12,BOYACA,GUATEQUE,INCENDIO FORESTAL,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
7,2018-03-16,BOYACA,GUATEQUE,INCENDIO FORESTAL,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
8,2018-03-23,BOYACA,GUATEQUE,INCENDIO FORESTAL,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
9,2018-03-23,BOYACA,GUATEQUE,INCENDIO FORESTAL,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
10,2018-07-16,BOYACA,GUATEQUE,INUNDACION,15322.0,0.0,0,0,60,12,0,12,5.01450831,-73.48812352,60.0,LEVE,NO
11,2018-12-13,BOYACA,GUATEQUE,DESLIZAMIENTO,15322.0,1.0,0,0,1,0,0,0,5.01450831,-73.48812352,2.0,LEVE,SI
12,2018-12-28,BOYACA,GUATEQUE,INCENDIO FORESTAL,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
13,2018-12-31,BOYACA,GUATEQUE,INCENDIO FORESTAL,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
14,2019-01-07,BOYACA,GUATEQUE,INCENDIO DE COBERTURA VEGETAL,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
15,2019-02-05,BOYACA,GUATEQUE,VENDAVAL,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
16,2019-02-23,BOYACA,GUATEQUE,INCENDIO DE COBERTURA VEGETAL,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
17,2019-03-25,BOYACA,GUATEQUE,INCENDIO DE COBERTURA VEGETAL,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
18,2019-04-07,BOYACA,GUATEQUE,INCENDIO DE COBERTURA VEGETAL,15322.0,0.0,0,0,0,0,1,0,5.01450831,-73.48812352,0.0,LEVE,NO
19,2019-06-30,BOYACA,GUATEQUE,MOVIMIENTO EN MASA,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
20,2019-12-07,BOYACA,GUATEQUE,INCENDIO DE COBERTURA VEGETAL,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
21,2020-06-01,BOYACA,GUATEQUE,INCENDIO DE COBERTURA VEGETAL,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
22,2020-08-01,BOYACA,GUATEQUE,INCENDIO DE COBERTURA VEGETAL,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
23,2020-11-03,BOYACA,GUATEQUE,INCENDIO DE COBERTURA VEGETAL,15322.0,0.0,0,0,0,0,0,0,5.01450831,-73.48812352,0.0,LEVE,NO
24,2018-01-01,CUNDINAMARCA,GUASCA,DESLIZAMIENTO,25322.0,0.0,0,0,0,0,0,0,4.801276832,-73.84643485,0.0,LEVE,NO
25,2018-01-06,CUNDINAMARCA,GUASCA,INCENDIO FORESTAL,25322.0,0.0,0,0,0,0,0,0,4.801276832,-73.84643485,0.0,LEVE,NO
26,2018-02-03,CUNDINAMARCA,GUASCA,INCENDIO FORESTAL,25322.0,0.0,0,0,0,0,0,0,4.801276832,-73.84643485,0.0,LEVE,NO
27,2018-02-13,CUNDINAMARCA,GUASCA,INCENDIO ESTRUCTURAL,25322.0,0.0,0,0,5,1,0,1,4.801276832,-73.84643485,5.0,LEVE,NO
28,2018-03-19,CUNDINAMARCA,GUASCA,OTROS,25322.0,0.0,0,0,9,0,0,0,4.801276832,-73.84643485,9.0,LEVE,NO
29,2018-05-04,CUNDINAMARCA,GUASCA,INUNDACION,25322.0,0.0,0,0,6,1,0,1,4.801276832,-73.84643485,6.0,LEVE,NO
30,2019-02-01,CUNDINAMARCA,GUASCA,INCENDIO DE COBERTURA VEGETAL,25322.0,0.0,0,0,0,0,0,0,4.801276832,-73.84643485,0.0,LEVE,NO
31,2020-12-02,CUNDINAMARCA,GUASCA,INCENDIO DE COBERTURA VEGETAL,25322.0,0.0,0,0,0,0,0,0,4.801276832,-73.84643485,0.0,LEVE,NO
32,2020-12-02,CUNDINAMARCA,GUASCA,INCENDIO DE COBERTURA VEGETAL,25322.0,0.0,0,0,0,0,0,0,4.801276832,-73.84643485,0.0,LEVE,NO
33,2018-01-01,QUINDIO,MONTENEGRO,DESLIZAMIENTO,63470.0,0.0,1,0,1,0,0,0,4.521890945,-75.81806594,2.0,LEVE,SI
34,2018-04-07,QUINDIO,MONTENEGRO,ACCIDENTE,63470.0,4.0,0,0,4,0,0,0,4.521890945,-75.81806594,8.0,LEVE,SI
35,2018-05-23,QUINDIO,MONTENEGRO,REMOCION EN MASA,63470.0,0.0,0,0,0,0,0,0,4.521890945,-75.81806594,0.0,LEVE,NO
36,2018-09-06,QUINDIO,MONTENEGRO,INCENDIO ESTRUCTURAL,63470.0,1.0,0,0,30,9,0,6,4.521890945,-75.81806594,31.0,LEVE,SI
37,2019-02-05,QUINDIO,MONTENEGRO,VENDAVAL,63470.0,0.0,0,0,5,1,0,1,4.521890945,-75.81806594,5.0,LEVE,NO
38,2019-04-19,QUINDIO,MONTENEGRO,MOVIMIENTO EN MASA,63470.0,0.0,0,0,10,2,1,1,4.521890945,-75.81806594,10.0,LEVE,NO
39,2019-05-17,QUINDIO,MONTENEGRO,INCENDIO ESTRUCTURAL,63470.0,0.0,0,0,5,2,1,1,4.521890945,-75.81806594,5.0,LEVE,NO
40,2019-06-06,QUINDIO,MONTENEGRO,MOVIMIENTO EN MASA,63470.0,0.0,0,0,0,0,0,0,4.521890945,-75.81806594,0.0,LEVE,NO
41,2019-12-29,QUINDIO,MONTENEGRO,INCENDIO ESTRUCTURAL,63470.0,0.0,0,0,4,1,0,0,4.521890945,-75.81806594,4.0,LEVE,NO
42,2020-01-01,QUINDIO,MONTENEGRO,MOVIMIENTO EN MASA,63470.0,0.0,0,0,0,0,0,0,4.521890945,-75.81806594,0.0,LEVE,NO
43,2020-07-19,QUINDIO,MONTENEGRO,VENDAVAL,63470.0,0.0,0,0,4,1,0,1,4.521890945,-75.81806594,4.0,LEVE,NO
44,2018-01-02,ANTIOQUIA,ANORI,DESLIZAMIENTO,5040.0,0.0,0,0,15,3,1,2,7.193110778,-75.10848954,15.0,LEVE,NO
45,2018-04-10,ANTIOQUIA,ANORI,REMOCION EN MASA,5040.0,0.0,0,0,20,4,0,4,7.193110778,-75.10848954,20.0,LEVE,NO
46,2018-04-19,ANTIOQUIA,ANORI,REMOCION EN MASA,5040.0,5.0,1,0,6,0,0,0,7.193110778,-75.10848954,12.0,LEVE,SI
47,2018-05-06,ANTIOQUIA,ANORI,TORMENTA ELECTRICA,5040.0,0.0,5,0,5,0,0,0,7.193110778,-75.10848954,10.0,LEVE,SI
48,2018-05-11,ANTIOQUIA,ANORI,REMOCION EN MASA,5040.0,0.0,0,0,25,5,0,3,7.193110778,-75.10848954,25.0,LEVE,NO
50,2019-11-29,ANTIOQUIA,ANORI,INCENDIO ESTRUCTURAL,5040.0,0.0,0,0,5,1,1,0,7.193110778,-75.10848954,5.0,LEVE,NO
